id_centre,nom,region,latitude,longitude
1,Dakar_Centre de Transfusion ,Dakar,14.7167,-17.4677
2,Thiès_Centre de Transfusion ,Thiès,14.79,-16.92
3,Saint-Louis_Centre de Transfusion ,Saint-Louis,16.02,-16.5
4,Louga_Centre de Transfusion ,Louga,15.61,-16.22
5,Diourbel_Centre de Transfusion ,Diourbel,14.65,-16.23
6,Fatick_Centre de Transfusion ,Fatick,14.33,-16.4
7,Kaolack_Centre de Transfusion ,Kaolack,14.16,-16.08
8,Kaffrine_Centre de Transfusion ,Kaffrine,14.1,-15.55
9,Tambacounda_Centre de Transfusion ,Tambacounda,13.77,-13.67
10,Kédougou_Centre de Transfusion ,Kédougou,12.55,-12.18
11,Kolda_Centre de Transfusion ,Kolda,12.88,-14.94
12,Sédhiou_Centre de Transfusion ,Sédhiou,12.7,-15.55
13,Ziguinchor_Centre de Transfusion ,Ziguinchor,12.58,-16.27
14,Matam_Centre de Transfusion ,Matam,15.65,-13.25
